Genus,Species,Synonyms,Extant,Plesiadapiform,Plesiadapiform Reference,First Appearance (mya),Last Appearance (mya),Period Reference,Body Size (g),Body Size Reference,m1 Length,m1 Width,M1 Length,M1 Width,m2 Length,m2 Width,M2 Length,M2 Width,m3 Length,m3 Width,M3 Length,M3 Width,p4 Length,p4 Width,P4 Length,P4 Width,Measurement References,New World
Megaladapis,edwardsi,,no,,,0.012,0.0006,Fossilworks/edgeofexistence.org,75000,Fleage 1999,,,,,,,,,,,,,,,,,,
Megaladapis,grandidieri,,no,,,,,,65000,Fleage 1999,,,,,,,,,,,,,,,,,,
Megaladapis,madagascariensis,,no,,,,,,40000,Fleage 1999,,,,,,,,,,,,,,,,,,
Melaneremia,bryanti,,no,,,55.8,48.6,Fossilworks,,,,,,,,,,,,,,,,,,,,
Mescalerolemur,horneri,,no,,,46.2,40.4,Fossilworks,658.548,estimate,2.15,3.08,3.8,3.13,,,4.1,3.13,2.05,3.42,3.35,2.45,1.91,3.08,3.3,2.64,Kirk and Williams 2011,
Mesopithecus,monspessulanus,,no,,,4.9,2.588,Fossilworks,5000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Mesopithecus,pentelicus,,no,,,8.7,5.332,Fossilworks,8000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Mesopropithecus,dolichobrachion,,no,,,,,,12000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Mesopropithecus,globiceps,,no,,,,,,10000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Mesopropithecus,pithecoides,,no,,,,,,11000,Fleagle 1999,,,,,,,,,,,,,,,,,,
Micodon,kiotensis,,no,,,13.8,11.8,Fossilworks,,,,,,,,,,,,,,,,,,,,yes
Microadapis,sciureus,,no,,,40.4,37.2,Fossilworks,600,Fleagle 1999,,,,,,,,,,,,,,,,,,
Microchoerus,creechbarrowensis,,no,,,38,28.1,Fleagle 1999,900,Fleagle 1999,,,,,,,,,,,,,,,,,,
Microchoerus,edwardsi,,no,,,38,28.1,Fleagle 1999,930,Fleagle 1999,,,,,,,,,,,,,,,,,,
